eventtype,Acceleration:longitudinal direction,Deceleration:longitudinal direction,Acceleration:lateral direction,Deceleration:lateral direction,Postive jerk:longitudinal direction,Negative jerk :longitudinal direction,Postive jerk:lateral direction,Negative jerk :lateral direction
1,0.63682431,1.1843081,1.145851,0.78762847,1.2336,1.714257,1.159465,0.78745079
1,1.101656,1.112861,0.60518903,0.68866241,1.037763,1.168041,1.03769,0.81813711
1,0.52968091,0.98057193,1.413273,0.68365371,0.88642538,0.86159211,1.117521,0.78883767
1,0.5093478,1.969703,0.95456052,1.150051,1.5554039,1.866789,1.542258,1.544337
1,0.61628872,1.329491,1.1776119,0.65233171,0.99091607,1.3175761,0.9271785,0.89102149
1,0.51132983,1.4720351,0.99197823,0.77311671,1.70655,1.1864721,1.0992121,0.84613502
1,0.55753738,1.456291,1.023573,0.68382329,1.056748,1.040078,0.96540308,0.75186568
1,0.99766612,1.501706,1.1489919,0.84387839,1.418763,1.407005,1.154811,0.89912552
1,0.65112561,0.61609012,0.98574501,0.60456538,1.254859,1.61305,0.93052518,0.68815291
1,0.98630983,1.362141,0.81412888,0.79317868,1.196946,1.23294,0.89040089,0.78402811
1,0.7468279,1.224795,0.99526578,1.343345,1.265442,1.716221,1.453678,1.438197
1,0.65064222,1.6026191,0.80865312,0.65553868,1.367275,0.99739909,0.84242451,0.73998058
1,0.87266111,1.890663,0.45187801,0.81807637,1.6689121,1.75823,1.385993,1.017993
1,0.77942389,2.0841711,0.85403287,0.8163743,1.248608,1.834744,0.80940968,0.72734487
1,0.83620769,1.991015,2.0645981,1.643728,1.389102,1.52828,1.428515,1.499972
1,0.83532739,2.0424581,0.55005968,0.92693537,1.13307,1.01758,0.99559069,0.80476111
1,0.84669602,1.362471,0.71596521,0.64375252,0.9688645,1.488979,0.85888243,0.77175659
1,0.92483908,1.455237,0.94581151,0.75496757,0.86203122,1.553359,1.125363,0.80833411
1,0.70940459,1.225055,0.82986349,0.81635648,1.076117,1.133022,1.282495,1.029313
1,,1.396952,1.018746,0.72499222,1.110626,0.93166548,0.93852758,0.7061016
1,0.92516989,1.287223,0.694323,0.77729952,1.182487,1.353465,1.320962,1.182088
1,1.151193,1.069524,1.415301,0.42329851,2.6508851,1.726048,1.792699,1.100513
1,1.608493,1.7362421,1.08302,0.78671449,3.4001219,1.507503,1.9907089,1.066274
1,0.49430749,1.412344,1.293987,0.77954489,1.400573,1.162479,1.534114,0.91357762
1,1.327471,2.6343329,0.92380261,0.66787118,3.185425,2.108953,2.97155,2.0324969
1,0.88092428,1.703146,0.91463238,0.9215849,1.518481,1.24929,1.229331,0.95487469
1,0.57760608,1.508631,1.3838021,0.54939377,1.277763,1.268604,1.035066,0.8084712
1,0.85367721,1.141028,0.60514438,0.87499309,1.039474,1.161979,0.94257122,0.79951108
1,0.92039752,1.160089,1.225601,0.52372283,1.209567,1.0018179,1.416201,1.100533
1,1.011235,1.323329,0.87558693,0.8642084,1.201176,1.154538,1.037294,0.8210482
1,0.86596471,1.424083,1.773358,1.0825469,1.910466,1.026801,1.6893359,1.372981
1,0.86880368,1.890234,0.90041572,0.89513129,1.458419,1.317282,0.86159062,0.8639071
1,0.6696009,0.86463898,0.42379171,0.75,1.8083301,1.711463,1.144447,0.94429058
1,1.266142,1.3581181,0.5141449,0.67138839,1.680519,0.95939398,1.074759,0.89811867
1,0.64762312,1.395921,1.364234,1.0835299,1.870976,1.798979,1.025784,0.86236852
1,1.151257,1.522993,1.820738,0.62908822,1.149864,1.489149,1.083162,0.78979528
1,0.7671662,1.8163429,1.062622,0.57577127,2.654794,1.40953,0.9504447,0.9409973
1,1.1603709,1.894169,0.74329811,0.73823279,1.189698,1.385371,0.91162419,0.86256731
1,0.4670954,1.1219749,0.88842511,1.101804,1.406292,1.496103,0.94380468,0.93992358
1,0.84434342,1.5517009,1.083994,0.87448412,1.923943,0.9872129,1.286067,0.87860662
1,0.74971581,1.927461,0.92736202,1.034657,1.1247931,0.9439159,1.016569,0.78543591
1,0.84180272,1.686746,0.86274773,0.72254658,1.1887749,1.333663,0.90519059,0.90418768
1,0.37878871,1.0464,1.268561,1.357386,1.086278,1.187708,1.288228,0.82619429
1,0.42788261,1.3537281,0.80036181,0.73203647,1.554083,1.144598,0.81082648,0.89786118
1,0.60283238,0.98959643,1.257642,1.464274,0.90836418,0.78465462,1.157849,0.87676269
1,1.372422,3.2039621,1.591292,0.87609208,4.1630058,5.285758,2.1719811,2.7007451
1,0.62205338,2.08165,1.2017781,0.77405423,4.2694492,4.8734012,1.155134,0.98557508
1,0.6370908,2.6120169,1.355594,0.80322713,6.260108,5.733973,0.96819061,0.88098508
1,,,,,,,,
1,,0.5151068,1.296028,0.57143301,0.79230762,0.62489671,0.62681079,0.60018349
1,,,,,,,,
1,0.95683819,1.324849,1.221501,0.69007349,3.6992769,3.814075,1.3302079,1.368766
1,0.76429433,1.09962,1.4186701,2.680654,1.094782,1.157751,2.062393,1.745567
1,2.265131,1.6561919,1.41585,1.4861031,3.95769,2.6211081,1.5105619,1.719947
1,0.49870259,1.161396,2.103843,0.69759941,1.462116,1.225512,1.270643,0.96418709
1,1.747969,1.264588,0.82546008,1.163577,1.15233,1.038169,1.044057,0.85820478
1,1.401426,1.540282,1.1420619,0.51633197,1.386974,1.018696,0.94975817,0.69187337
1,0.60012931,0.98802757,1.0701621,0.83692461,1.40508,0.84146279,1.049719,0.82396871
1,0.60066801,1.571224,0.62208349,0.67541188,1.43695,0.92613709,1.141004,1.167508
1,0.986561,1.257621,0.53901082,1.096624,2.1638999,1.347272,1.134762,0.97284532
1,0.82949841,1.403273,1.025375,0.48816341,2.69822,1.374746,1.248662,1.088251
1,0.69920021,1.342978,1.496906,0.79868609,2.3284669,1.904595,1.602968,0.91697258
1,1.345125,1.394105,1.0324709,0.88449103,1.355719,1.353582,1.042366,0.83819169
1,1.135649,1.703987,1.32233,1.122923,1.30647,0.97471857,0.92516828,0.75689697
1,1.092689,1.6418101,1.199474,1.040046,2.4113541,1.277387,1.109898,0.92975289
1,0.89434999,1.6114171,0.90832531,0.66516292,1.3522021,1.224664,1.069069,0.87552989
1,0.56263632,1.22358,0.86760807,0.86978722,1.114952,1.479893,0.9857837,0.86380428
1,0.88906342,1.6325589,1.352962,1.167581,3.0459831,1.660658,1.4369889,1.063373
1,0.96777272,1.9845411,0.96114022,0.58685893,1.066896,1.1927691,0.82540202,0.90635133
1,0.57257819,1.0127701,1.28082,0.89494789,1.569827,1.592515,1.273574,1.162336
1,0.56873548,1.418943,1.172446,0.86287141,2.590205,2.2588041,1.358461,1.030691
1,1.412618,1.548993,1.0536619,0.64433253,1.19856,1.340793,1.1681761,1.140684
1,0.49554741,0.95033872,1.113106,1.099653,1.170949,1.391021,0.92055809,0.83673137
1,1.034108,1.9603601,1.045922,0.6017127,1.707051,1.0262901,1.108784,0.94854927
1,1.054563,1.920462,0.87986672,0.91298199,0.97187889,1.2637351,0.93196452,0.83593857
1,0.66092807,1.110884,0.751266,0.89626712,2.443846,1.662459,0.88106608,0.90547961
1,0.49275729,1.31555,0.76731873,0.87578279,1.429792,1.7241991,1.164953,1.135661
1,0.8591817,2.1237719,0.81984389,1.213657,1.047725,1.067768,1.110267,0.87250513
1,0.60539007,1.539483,2.3489201,1.020738,1.604661,1.344584,1.6874681,1.315089
1,0.74056113,1.85287,1.732051,0.31181291,1.221675,2.4197071,0.82604629,0.74862581
1,0.47985271,1.775447,2.356931,1.1307991,2.4944789,1.286692,1.737902,1.0125
1,0.89540023,1.130181,1.436479,1.2223459,1.096396,1.5094759,1.176857,1.078904
1,1.071775,1.774917,1.273028,0.75233698,1.284348,1.100222,1.027555,0.90801197
1,0.81527579,1.634401,1.093848,1.380476,1.383587,1.776065,1.223994,1.261874
1,1.047622,1.902761,1.7994961,0.71276307,1.389966,1.854407,1.524079,1.215005
1,0.69749922,1.419956,1.3669159,0.62082732,1.949555,1.9300441,1.6751111,1.191795
1,0.94918072,2.1415329,1.398219,0.35783389,4.4883208,2.4135311,1.789916,1.107018
1,1.11806,1.408541,0.78244579,1.077763,1.53532,1.173169,0.91483837,0.9303357
1,0.88567811,1.071009,1.125771,0.76694018,1.14219,1.344592,0.92379349,0.87745821
1,0.95295042,1.57074,0.5563134,0.76980042,1.5035321,1.698483,1.021638,0.92565662
1,0.73049867,1.532968,1.6993721,1.076491,1.284651,1.089534,1.081166,0.89540303
1,1.0371979,0.8568691,0.94930989,0.67603773,1.278298,1.2917891,1.232533,0.94828862
1,0.90494353,1.383392,0.68693942,1.104912,1.2381819,1.566557,0.98011208,0.93388557
1,0.64559019,1.231481,0.90458977,0.81255978,1.454337,1.1892051,0.81609029,0.70052671
1,0.70247912,1.215553,0.82666922,0.86478621,1.115324,1.264782,1.034165,1.0044889
1,0.76912677,1.076586,1.341249,0.54831362,1.18291,0.86689103,1.038797,0.98730338
1,0.64137793,1.9836611,0.5591566,0.6959908,2.5103559,1.726622,1.35532,1.151521
1,0.58608937,1.443827,0.84410578,0.68740731,2.1783619,2.1824441,1.108385,0.95053411
1,1.230131,0.73884249,1.2285351,0.9766469,3.6249371,2.8470891,2.4052629,1.109645
1,0.60375369,1.353778,1.018705,0.40213141,1.2430969,1.0525891,1.388008,1.21567
1,0.71644253,1.444851,0.95443922,0.54386652,2.3135121,1.359627,1.228266,1.307634
1,0.91149712,1.411612,1.237628,1.403951,2.2362161,1.941159,1.281233,1.034253
1,0.81373441,1.408078,1.293228,0.34210289,1.946329,1.2399499,1.762566,1.106702
1,0.6953879,1.267956,1.340513,0.62016988,1.7281621,1.430889,1.060147,0.77176273
1,0.54951751,1.132895,0.97114593,2.161267,1.169728,1.4324681,1.859406,1.322448
1,0.6157304,0.83724552,1.100451,1.188825,1.328544,1.463774,1.2624609,1.331591
1,0.53378671,1.252203,1.164649,0.79055983,1.477937,0.88641089,1.109413,0.74640691
1,0.3905929,0.88316083,1.379895,0.59853512,1.250746,0.93394762,0.89419729,0.77063358
1,1.223623,1.1118031,2.182029,0.3977623,2.093138,1.321884,1.706136,1.03383
1,0.5215162,2.3125119,1.562922,1.003974,2.562078,1.978448,2.638057,1.178727
1,0.60217798,1.181402,0.39715749,,1.365622,2.071557,0.98729217,0.77734917
1,0.419772,1.415321,1.304937,0.8800751,1.6449651,1.616589,1.0311871,0.96321207
1,0.99834162,1.239828,1.012043,0.84769082,0.91134173,0.69886512,0.83468628,0.78360891
1,1.054915,1.768042,0.93758512,0.55841732,1.62073,1.649233,0.84426779,0.72318649
1,0.62863117,1.584343,1.0999579,0.79779619,1.1422811,1.50144,0.92140329,0.9195748
1,0.69929528,1.410938,1.3276089,1.363494,1.601818,2.006479,1.168003,1.0418431
1,0.58112347,1.6459889,0.69053042,0.80630612,1.413586,1.062681,1.095194,0.83624089
1,0.72321701,1.600702,1.249079,0.62542021,2.2242601,1.591674,0.90412241,0.77714032
1,0.73448008,1.527716,1.055968,1.631981,1.2868609,1.266338,1.060858,0.9296754
1,0.99836278,1.261007,1.0779231,0.7578097,1.795146,1.4932261,1.049664,0.98353791
1,0.8472802,1.129378,2.527631,1.812302,1.623063,1.966038,2.1046031,1.4061019
1,0.77350527,1.8448091,0.91332167,0.37011579,1.809688,1.614536,1.476724,1.050204
1,1.352201,1.682498,2.4194009,1.649238,0.99810338,1.543062,1.619167,1.714123
1,0.83446681,1.404267,2.5300391,0.85815817,2.7498119,1.986248,1.543277,1.28774
1,0.92169023,1.093688,0.60322028,1.204416,0.95394927,1.4209681,0.97428298,0.82654673
1,1.154701,1.625715,0.74391478,0.98136097,1.3166161,1.079779,0.83132458,0.74077928
1,0.76736492,0.83037812,0.82395327,0.96601772,1.225698,1.056399,1.177421,0.99383283
1,1.5615081,1.323787,1.1723239,0.41468129,1.387951,2.0931499,1.0283099,0.82048267
1,0.84083408,1.981181,0.90388519,0.83501369,1.40124,1.174088,1.233873,0.98393917
1,1.0490789,1.169181,0.8095904,0.74337351,1.702523,0.70459968,1.07988,0.83833402
1,0.90577781,1.519809,0.86339933,1.1957411,1.103016,1.209329,1.261452,1.1373791
1,1.129843,1.551241,0.86469781,0.75486439,2.3841619,2.5245891,1.1386549,1.523401
1,1.086491,1.935728,0.89012998,0.59240073,3.4070461,1.542758,0.95145261,0.73039228
1,1.855772,1.792882,1.092405,1.503881,4.8262658,4.1560092,1.495345,1.453442
1,0.59853512,0.84390461,0.87775701,0.65764898,1.122618,0.78456002,0.941149,0.77508038
1,0.66688043,1.488938,1.204092,0.82207292,1.396426,1.589378,1.364768,1.20372
1,0.98408371,1.502045,0.92895418,1.0875061,1.4304121,1.543051,1.246338,1.159176
1,1.2039911,1.171942,2.2530229,1.118214,1.159525,1.182056,1.319546,1.007268
1,,,,,,,,
1,1.578554,1.268339,1.182287,0.72295731,3.215668,1.494085,1.045601,0.82976419
1,0.80608243,1.358565,1.274876,0.6491136,1.62753,2.3657479,1.4745719,0.85259962
1,1.2148629,0.88521111,0.3904199,0.47140449,1.493926,1.735036,1.004096,0.93067271
1,0.89110929,1.5547889,1.215523,1.367718,1.5067199,1.247768,1.766686,1.70347
1,0.68611687,1.521554,0.95439023,0.57144737,1.744817,1.194271,1.065044,0.82045168
1,1.461993,1.5334131,1.230212,0.82446498,1.649018,1.4420201,1.124483,1.223171
1,0.66965401,1.443254,1.974461,1.404434,3.287926,2.467226,1.179449,1.390578
1,1.1154619,3.004626,,0.1558052,9.1257401,3.6506591,1.881462,1.001471
1,0.7276513,1.768119,1.550456,0.92234802,3.2231851,2.495296,1.3478,1.0864739
1,1.01616,1.138153,0.84279603,0.69082892,4.1052952,4.5517902,1.567351,1.672498
1,1.144706,1.678988,1.17392,0.77217168,3.820358,2.286025,1.13993,0.93531358
1,1.111479,1.399756,1.1563981,0.61711901,3.8517339,2.0169749,0.91185278,0.71152312
1,,,,,,,,
1,1.48353,1.776397,0.82241333,0.37382051,4.29562,2.6459689,1.701938,1.127601
1,1.003208,1.320665,1.95661,1.125297,1.693813,0.78405839,0.98150438,1.326808
1,0.8400293,1.428341,0.6732254,0.78467888,1.642977,1.524774,1.008305,0.9899863
1,1.222325,1.464604,0.89897728,0.96225047,1.9027309,0.97768289,1.113741,1.179907
1,1.107545,1.328259,1.191623,0.76889002,1.596947,1.009391,1.1158381,1.017958
1,1.049373,1.450722,2.5034709,1.010511,1.127092,0.92076552,1.477592,2.015924
1,1.016911,2.1268721,2.842319,1.25824,4.4729848,2.4522741,3.1050861,2.643182
1,2.3167379,1.507722,1.091486,0.7442174,3.4711771,2.3816459,1.050674,0.76723838
1,1.046809,1.853152,0.64136147,0.86617178,2.113924,1.965784,1.2893749,1.025333
1,0.78179431,1.13536,2.3225169,0.87060243,1.266943,1.2602381,1.8599809,1.263494
1,1.137313,2.01736,0.99658352,0.74235231,1.464097,1.1378371,0.79374719,0.77122539
1,0.91561258,1.767399,2.518338,0.76704609,2.2590909,1.473007,2.087729,1.579141
1,,1.019364,1.767248,0.49814099,1.214038,1.026623,0.88394523,0.84644532
