"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"14997",450177,45,1,0,30,0,0,10,6,12,0,29924,0,0,0,0,0,0,0,1,35,0,4,3,28,2007,7,9,37,0,4,4,5,0,1,33.04908056,-80.22754444,0,1,70,1,5,4,0,0,0,0,1,1,0,66,24,12,3985
"14998",450184,45,1,0,80,0,0,55,6,1,0,29481,0,2,0,3,0,2007,1,2,19,410,2,4,4,2011,20,31,8,0,1,3,1,0,1,32.80866667,-80.006475,0,1,45,1,5,4,0,96,97,8,8,0,7,0,0,13,1
"14999",450186,45,1,0,2,0,0,80,6,1,1,28092,0,0,0,0,0,0,0,2,23,0,5,4,22,2010,23,0,53,0,4,2,1,1,2,34.75698611,-80.95911111,0,1,38,2,5,4,0,0,0,1,8,0,7,0,0,12,1
"15000",450187,45,1,0,4,0,0,999,0,9,0,29860,0,0,0,0,0,0,0,2,53,0,5,4,22,2010,6,0,12,6,1,1,1,0,1,32.46266667,-81.04528333,0,1,9,1,6,4,0,96,97,8,8,5,0,175,7,13,10508
"15001",450188,45,1,0,14,0,0,45,6,1,1,29714,0,1,0,1,0,2009,1,5,27,0,6,3,30,2007,12,0,8,0,1,1,1,0,1,33.52158056,-80.43112778,0,1,63,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15002",450190,45,1,2,4,0,0,55,0,8,0,29560,0,1,1,0,0,2006,0,3,19,410,7,4,24,2010,22,44,12,2,1,2,1,1,1,32.70400278,-80.106425,0,1,19,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15003",450191,45,3,0,14,0,0,0,0,12,0,29642,0,0,0,0,0,0,1,2,79,0,1,4,1,2007,15,30,8,0,1,1,1,0,1,33.95904722,-80.93879722,0,1,33,1,5,4,0,96,97,1,8,0,7,0,0,13,1
"15004",450191,45,3,0,14,0,0,0,0,12,0,29642,0,0,0,0,0,0,1,2,79,0,1,4,1,2007,15,30,8,0,1,1,1,0,1,33.95904722,-80.93879722,0,1,51,1,5,4,0,0,0,8,8,1,0,0,35,12,36
"15005",450194,45,1,0,31,0,0,40,6,12,0,29577,1,1,0,0,1,2007,0,8,51,0,6,3,21,2008,13,45,12,5,1,1,1,0,1,33.7541,-78.8527,0,1,12,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15006",450194,45,1,0,31,0,0,40,6,12,0,29577,1,1,0,0,1,2007,0,8,51,0,6,3,21,2008,13,45,12,5,1,1,1,0,1,33.7541,-78.8527,0,1,19,1,6,4,0,96,97,8,8,0,7,0,0,13,1
"15007",450196,45,2,1,99,0,0,999,9,8,0,99999,99,99,99,99,99,9999,0,4,63,0,1,4,5,2009,5,5,12,3,1,3,1,1,1,33.9611,-81.5307,0,1,47,1,5,4,0,96,97,8,8,0,7,0,0,13,1
"15008",450198,45,2,0,15,0,0,5,6,12,0,29554,0,0,0,0,0,0,0,1,79,0,6,4,10,2009,23,45,37,0,4,2,2,1,1,33.9004,-80.9241,0,1,43,2,5,4,0,0,0,0,1,1,0,0,27,12,28
"15009",450199,45,1,0,31,0,0,70,6,42,0,29461,0,0,0,0,0,0,1,2,83,0,4,4,2,2008,21,30,8,0,1,3,1,0,1,34.9585,-81.9552,0,1,73,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15010",450199,45,1,0,31,0,0,70,6,42,0,29461,0,0,0,0,0,0,1,2,83,0,4,4,2,2008,21,30,8,0,1,3,1,0,1,34.9585,-81.9552,0,1,26,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15011",450202,45,1,0,14,0,0,45,2,8,0,29576,0,0,0,2,0,2008,0,1,91,0,1,3,7,2010,17,0,53,0,4,1,1,1,1,34.98423056,-81.15420278,0,1,36,1,5,4,0,0,0,8,8,1,0,1,52,12,113
"15012",450207,45,1,0,4,0,0,10,6,42,0,29687,0,0,0,0,0,0,0,2,77,0,7,4,7,2007,9,53,12,5,1,1,1,0,1,34.82529722,-82.55071111,0,1,22,2,5,4,0,0,0,1,8,0,7,0,0,12,1
"15013",450210,45,1,0,2,0,0,60,6,1,0,29673,0,0,0,1,0,2006,0,2,51,0,5,4,28,2011,1,34,52,0,4,2,1,0,1,33.78164444,-78.96740833,0,1,35,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15014",450214,45,2,0,31,0,0,55,6,12,0,29526,0,1,0,1,0,2007,0,5,51,0,1,4,18,2010,18,31,34,0,3,1,1,0,1,34.02388889,-78.94011389,0,1,44,1,5,4,0,0,0,8,8,0,7,0,0,15,1
"15015",450221,45,1,0,66,3,6,55,6,12,0,28139,0,0,0,0,0,0,0,3,77,0,7,4,25,2009,19,30,5,0,1,2,1,1,1,34.6697,-82.1101,0,1,13,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15016",450229,45,2,0,80,0,0,30,6,12,1,29550,0,0,0,0,0,0,0,1,3,1800,6,5,1,2009,8,32,34,0,4,1,1,1,1,33.5513,-81.957,0,1,48,1,5,4,0,96,97,1,8,0,7,0,0,13,1
"15017",450234,45,4,0,80,0,0,55,0,12,0,29924,0,1,0,1,0,2008,1,1,37,0,5,5,5,2011,6,30,8,0,1,1,1,0,1,33.66828333,-81.87882778,0,1,30,1,5,4,0,96,97,0,8,0,7,0,0,13,1
"15018",450238,45,1,0,31,0,0,70,6,12,0,29488,0,0,0,3,0,2010,1,2,45,0,7,4,25,2009,21,5,37,0,4,2,1,0,1,34.9358,-82.4615,0,1,44,1,6,4,0,0,0,1,8,0,7,0,0,12,1
"15019",450238,45,1,0,31,0,0,70,6,12,0,29488,0,0,0,3,0,2010,1,2,45,0,7,4,25,2009,21,5,37,0,4,2,1,0,1,34.9358,-82.4615,0,1,63,1,5,4,0,0,0,8,8,0,7,0,0,18,1
"15020",450239,45,1,0,4,0,0,10,2,12,0,29601,0,0,0,0,1,2005,1,1,75,0,3,5,11,2010,15,39,8,0,1,1,1,0,1,33.54568611,-80.83075,0,1,41,2,5,4,0,96,97,8,8,0,7,0,0,13,1
"15021",450242,45,2,0,15,0,0,55,6,12,0,29560,0,0,0,5,0,2008,0,2,89,0,1,5,3,2009,13,11,12,4,1,1,1,0,1,33.7463,-79.4695,0,1,58,1,5,4,0,0,0,1,8,0,7,0,0,12,1
