probability,volatility,vol.
0.30686611,1.352201,volatility(acceleration: longitudinal direction)
0.2013267,0.83446681,volatility(acceleration: longitudinal direction)
0.21701653,0.92169023,volatility(acceleration: longitudinal direction)
0.26315004,1.154701,volatility(acceleration: longitudinal direction)
0.18984477,0.76736492,volatility(acceleration: longitudinal direction)
0.35729608,1.5615081,volatility(acceleration: longitudinal direction)
0.20244275,0.84083408,volatility(acceleration: longitudinal direction)
0.24148419,1.0490789,volatility(acceleration: longitudinal direction)
0.2140896,0.90577781,volatility(acceleration: longitudinal direction)
0.25794032,1.129843,volatility(acceleration: longitudinal direction)
0.24901709,1.086491,volatility(acceleration: longitudinal direction)
0.43364188,1.855772,volatility(acceleration: longitudinal direction)
0.16319044,0.59853512,volatility(acceleration: longitudinal direction)
0.1735993,0.66688043,volatility(acceleration: longitudinal direction)
0.22877097,0.98408371,volatility(acceleration: longitudinal direction)
0.27367818,1.2039911,volatility(acceleration: longitudinal direction)
0.36156544,1.578554,volatility(acceleration: longitudinal direction)
0.19640751,0.80608243,volatility(acceleration: longitudinal direction)
0.2760354,1.2148629,volatility(acceleration: longitudinal direction)
0.211417,0.89110929,volatility(acceleration: longitudinal direction)
0.17662194,0.68611687,volatility(acceleration: longitudinal direction)
0.3328383,1.461993,volatility(acceleration: longitudinal direction)
0.17403258,0.66965401,volatility(acceleration: longitudinal direction)
0.18328901,0.7276513,volatility(acceleration: longitudinal direction)
0.23498565,1.01616,volatility(acceleration: longitudinal direction)
0.26104721,1.144706,volatility(acceleration: longitudinal direction)
0.2541351,1.111479,volatility(acceleration: longitudinal direction)
0.33806103,1.48353,volatility(acceleration: longitudinal direction)
0.23246226,1.003208,volatility(acceleration: longitudinal direction)
0.20230143,0.8400293,volatility(acceleration: longitudinal direction)
0.27766055,1.222325,volatility(acceleration: longitudinal direction)
0.25332478,1.107545,volatility(acceleration: longitudinal direction)
0.2415428,1.049373,volatility(acceleration: longitudinal direction)
0.23513255,1.016911,volatility(acceleration: longitudinal direction)
0.55834526,2.3167379,volatility(acceleration: longitudinal direction)
0.24103217,1.046809,volatility(acceleration: longitudinal direction)
0.19227077,0.78179431,volatility(acceleration: longitudinal direction)
0.2594988,1.137313,volatility(acceleration: longitudinal direction)
0.21589521,0.91561258,volatility(acceleration: longitudinal direction)
0.205332,0.85719699,volatility(acceleration: longitudinal direction)
0.19708973,0.81005073,volatility(acceleration: longitudinal direction)
0.28444079,1.253172,volatility(acceleration: longitudinal direction)
0.22018218,0.93872672,volatility(acceleration: longitudinal direction)
0.24078906,1.0455869,volatility(acceleration: longitudinal direction)
0.26405257,1.158975,volatility(acceleration: longitudinal direction)
0.32309622,1.4213589,volatility(acceleration: longitudinal direction)
0.26693824,1.172578,volatility(acceleration: longitudinal direction)
0.21433119,0.90709722,volatility(acceleration: longitudinal direction)
0.19263464,0.78394651,volatility(acceleration: longitudinal direction)
0.19178283,0.77890331,volatility(acceleration: longitudinal direction)
0.22226347,0.94983202,volatility(acceleration: longitudinal direction)
0.19664805,0.80748278,volatility(acceleration: longitudinal direction)
0.19889304,0.8204903,volatility(acceleration: longitudinal direction)
0.20708393,0.86703581,volatility(acceleration: longitudinal direction)
0.22225747,0.94980001,volatility(acceleration: longitudinal direction)
0.1907801,0.77294463,volatility(acceleration: longitudinal direction)
0.1798403,0.70631659,volatility(acceleration: longitudinal direction)
0.179066,0.70148277,volatility(acceleration: longitudinal direction)
0.2351705,1.017105,volatility(acceleration: longitudinal direction)
0.36185756,1.579717,volatility(acceleration: longitudinal direction)
0.21494396,0.91043878,volatility(acceleration: longitudinal direction)
0.16811024,0.63125932,volatility(acceleration: longitudinal direction)
0.18281148,0.72471589,volatility(acceleration: longitudinal direction)
0.25660312,1.12341,volatility(acceleration: longitudinal direction)
0.14739083,0.48773301,volatility(acceleration: longitudinal direction)
0.20028421,0.82849538,volatility(acceleration: longitudinal direction)
0.22807655,0.98046172,volatility(acceleration: longitudinal direction)
0.52257317,2.184278,volatility(acceleration: longitudinal direction)
0.18668081,0.74833238,volatility(acceleration: longitudinal direction)
0.2268925,0.97426808,volatility(acceleration: longitudinal direction)
0.15690859,0.55557537,volatility(acceleration: longitudinal direction)
0.24504875,1.066879,volatility(acceleration: longitudinal direction)
0.18226984,0.72137922,volatility(acceleration: longitudinal direction)
0.23332572,1.007651,volatility(acceleration: longitudinal direction)
0.44199935,1.886986,volatility(acceleration: longitudinal direction)
0.2435421,1.059377,volatility(acceleration: longitudinal direction)
0.2434884,1.059109,volatility(acceleration: longitudinal direction)
0.16273741,0.59548217,volatility(acceleration: longitudinal direction)
0.2114552,0.89131987,volatility(acceleration: longitudinal direction)
0.2668131,1.17199,volatility(acceleration: longitudinal direction)
0.22376291,0.95778668,volatility(acceleration: longitudinal direction)
0.16412337,0.60480082,volatility(acceleration: longitudinal direction)
0.22792864,0.9796893,volatility(acceleration: longitudinal direction)
0.21218985,0.89536488,volatility(acceleration: longitudinal direction)
0.20347081,0.84667617,volatility(acceleration: longitudinal direction)
0.2311337,0.99634951,volatility(acceleration: longitudinal direction)
0.15382746,0.53399152,volatility(acceleration: longitudinal direction)
0.17555647,0.67936581,volatility(acceleration: longitudinal direction)
0.21704349,0.92183608,volatility(acceleration: longitudinal direction)
0.15775059,0.56141359,volatility(acceleration: longitudinal direction)
0.22488415,0.96371013,volatility(acceleration: longitudinal direction)
0.17244543,0.6594674,volatility(acceleration: longitudinal direction)
0.18299821,0.72586441,volatility(acceleration: longitudinal direction)
0.50899363,2.1342931,volatility(acceleration: longitudinal direction)
0.20020629,0.82804811,volatility(acceleration: longitudinal direction)
0.24469572,1.065124,volatility(acceleration: longitudinal direction)
0.21416117,0.90616882,volatility(acceleration: longitudinal direction)
0.16419785,0.60529977,volatility(acceleration: longitudinal direction)
0.158911,0.56941831,volatility(acceleration: longitudinal direction)
0.25036708,1.093115,volatility(acceleration: longitudinal direction)
0.20888978,0.87711328,volatility(acceleration: longitudinal direction)
0.22682743,0.97392702,volatility(acceleration: longitudinal direction)
0.22166182,0.94662941,volatility(acceleration: longitudinal direction)
0.24220584,1.0526969,volatility(acceleration: longitudinal direction)
0.33776048,1.482295,volatility(acceleration: longitudinal direction)
0.14873877,0.49755621,volatility(acceleration: longitudinal direction)
0.22120422,0.94418949,volatility(acceleration: longitudinal direction)
0.15492661,0.54173142,volatility(acceleration: longitudinal direction)
0.21135657,0.89077598,volatility(acceleration: longitudinal direction)
